Pokemon,Type,Species,Height,Weight,Abilities,EV Yield,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,Sprite
Bayleef,Grass,Leaf Pokémon,1.2 m (3′11″),15.8 kg (34.8 lbs),"1. Overgrow, Leaf Guard (hidden ability)","1 Defense, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"Grass, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",60,230,324,62,116,245,80,148,284,63,117,247,80,148,284,60,112,240,Bayleef.png
Beartic,Ice,Freezing Pokémon,2.6 m (8′06″),260.0 kg (573.2 lbs),"1. Snow Cloak, 2. Slush Rush, Swift Swim (hidden ability)",2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),177,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,130,238,394,80,148,284,70,130,262,80,148,284,50,94,218,Beartic.png
Beautifly,"Bug, Flying",Butterfly Pokémon,1.0 m (3′03″),28.4 kg (62.6 lbs),"1. Swarm, Rivalry (hidden ability)",3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",60,230,324,70,130,262,50,94,218,100,184,328,50,94,218,65,121,251,Beautifly.png
Beedrill,"Bug, Poison",Poison Bee Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),"1. Swarm, Sniper (hidden ability)","2 Attack, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",65,240,334,90,166,306,40,76,196,45,85,207,80,148,284,75,139,273,Beedrill.png
Mega Beedrill,"Bug, Poison",Poison Bee Pokémon,1.4 m (4′07″),40.5 kg (89.3 lbs),1. Adaptability,"2 Attack, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),223,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",65,240,334,150,274,438,40,76,196,15,31,141,80,148,284,145,265,427,Mega Beedrill.png
Beheeyem,Psychic,Cerebral Pokémon,1.0 m (3′03″),34.5 kg (76.1 lbs),"1. Telepathy, 2. Synchronize, Analytic (hidden ability)",2 Sp. Atk,"90 (11.8% with PokéBall, full HP)",50 (normal),170,Medium Fast,Human-Like,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,75,139,273,75,139,273,125,229,383,95,175,317,40,76,196,Beheeyem.png
Beldum,"Steel, Psychic",Iron Ball Pokémon,0.6 m (2′00″),95.2 kg (209.9 lbs),"1. Clear Body, Light Metal (hidden ability)",1 Defense,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),60,Slow,Mineral,Genderless,"40 (10,024–10,280 steps)",40,190,284,55,103,229,80,148,284,35,67,185,60,112,240,30,58,174,Beldum.png
Bellibolt,Electric,EleFrog Pokémon,1.2 m (3′11″),113.0 kg (249.1 lbs),"1. Electromorphosis, 2. Static, Damp (hidden ability)",2 HP,"50 (6.5% with PokéBall, full HP)",50 (normal),173,Medium Fast,Water 1,"50% male, 50% female","20 (4,884–5,140 steps)",109,328,422,64,119,249,91,168,309,103,189,335,83,153,291,45,85,207,Bellibolt.png
Bellossom,Grass,Flower Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs),"1. Chlorophyll, Healer (hidden ability)",3 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),221,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,80,148,284,95,175,317,90,166,306,100,184,328,50,94,218,Bellossom.png
Bellsprout,"Grass, Poison",Flower Pokémon,0.7 m (2′04″),4.0 kg (8.8 lbs),"1. Chlorophyll, Gluttony (hidden ability)",1 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,75,139,273,35,67,185,70,130,262,30,58,174,40,76,196,Bellsprout.png
Bergmite,Ice,Ice Chunk Pokémon,1.0 m (3′03″),99.5 kg (219.4 lbs),"1. Own Tempo, 2. Ice Body, Sturdy (hidden ability)",1 Defense,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,"Mineral, Monster","50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,69,128,260,85,157,295,32,62,179,35,67,185,28,54,170,Bergmite.png
Bewear,"Normal, Fighting",Strong Arm Pokémon,2.1 m (6′11″),135.0 kg (297.6 lbs),"1. Fluffy, 2. Klutz, Unnerve (hidden ability)",2 Attack,"70 (9.1% with PokéBall, full HP)",50 (normal),175,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",120,350,444,125,229,383,80,148,284,55,103,229,60,112,240,60,112,240,Bewear.png
Bibarel,"Normal, Water",Beaver Pokémon,1.0 m (3′03″),31.5 kg (69.4 lbs),"1. Simple, 2. Unaware, Moody (hidden ability)",2 Attack,"127 (16.6% with PokéBall, full HP)",50 (normal),144,Medium Fast,"Field, Water 1","50% male, 50% female","15 (3,599–3,855 steps)",79,268,362,85,157,295,60,112,240,55,103,229,60,112,240,71,132,265,Bibarel.png
Bidoof,Normal,Plump Mouse Pokémon,0.5 m (1′08″),20.0 kg (44.1 lbs),"1. Simple, 2. Unaware, Moody (hidden ability)",1 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),50,Medium Fast,"Field, Water 1","50% male, 50% female","15 (3,599–3,855 steps)",59,228,322,45,85,207,40,76,196,35,67,185,40,76,196,31,60,177,Bidoof.png
Binacle,"Rock, Water",Two-Handed Pokémon,0.5 m (1′08″),31.0 kg (68.3 lbs),"1. Sniper, 2. Tough Claws, Pickpocket (hidden ability)",1 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),61,Medium Fast,Water 3,"50% male, 50% female","20 (4,884–5,140 steps)",42,194,288,52,98,223,67,125,256,39,74,194,56,105,232,50,94,218,Binacle.png
Bisharp,"Dark, Steel",Sword Blade Pokémon,1.6 m (5′03″),70.0 kg (154.3 lbs),"1. Defiant, 2. Inner Focus, Pressure (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),172,Medium Fast,Human-Like,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,125,229,383,100,184,328,60,112,240,70,130,262,70,130,262,Bisharp.png
Blacephalon,"Fire, Ghost",Fireworks Pokémon,1.8 m (5′11″),13.0 kg (28.7 lbs),1. Beast Boost,3 Sp. Atk,"30 (3.9% with PokéBall, full HP)",0 (lower than normal),257,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",53,216,310,127,233,388,53,99,225,151,276,441,79,146,282,107,197,344,Blacephalon.png
Blastoise,Water,Shellfish Pokémon,1.6 m (5′03″),85.5 kg (188.5 lbs),"1. Torrent, Rain Dish (hidden ability)",3 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",79,268,362,83,153,291,100,184,328,85,157,295,105,193,339,78,144,280,Blastoise.png
Mega Blastoise,Water,Shellfish Pokémon,1.6 m (5′03″),101.1 kg (222.9 lbs),1. Mega Launcher,3 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),284,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",79,268,362,103,189,335,120,220,372,135,247,405,115,211,361,78,144,280,Mega Blastoise.png
Blaziken,"Fire, Fighting",Blaze Pokémon,1.9 m (6′03″),52.0 kg (114.6 lbs),"1. Blaze, Speed Boost (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),239,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",80,270,364,120,220,372,70,130,262,110,202,350,70,130,262,80,148,284,Blaziken.png
Mega Blaziken,"Fire, Fighting",Blaze Pokémon,1.9 m (6′03″),52.0 kg (114.6 lbs),1. Speed Boost,3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),284,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",80,270,364,160,292,460,80,148,284,130,238,394,80,148,284,100,184,328,Mega Blaziken.png
Blipbug,Bug,Larva Pokémon,0.4 m (1′04″),8.0 kg (17.6 lbs),"1. Swarm, 2. Compound Eyes, Telepathy (hidden ability)",1 Sp. Def,"255 (33.3% with PokéBall, full HP)",50 (normal),36,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",25,160,254,20,40,152,20,40,152,25,49,163,45,85,207,45,85,207,Blipbug.png
Blissey,Normal,Happiness Pokémon,1.5 m (4′11″),46.8 kg (103.2 lbs),"1. Natural Cure, 2. Serene Grace, Healer (hidden ability)",3 HP,"30 (3.9% with PokéBall, full HP)",140 (higher than normal),635,Fast,Fairy,"0% male, 100% female","40 (10,024–10,280 steps)",255,620,714,10,22,130,10,22,130,75,139,273,135,247,405,55,103,229,Blissey.png
Blitzle,Electric,Electrified Pokémon,0.8 m (2′07″),29.8 kg (65.7 lbs),"1. Lightning Rod, 2. Motor Drive, Sap Sipper (hidden ability)",1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),59,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",45,200,294,60,112,240,32,62,179,50,94,218,32,62,179,76,141,276,Blitzle.png
Boldore,Rock,Ore Pokémon,0.9 m (2′11″),102.0 kg (224.9 lbs),"1. Sturdy, 2. Weak Armor, Sand Force (hidden ability)","1 Attack, 1 Defense","120 (15.7% with PokéBall, full HP)",50 (normal),137,Medium Slow,Mineral,"50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,105,193,339,105,193,339,50,94,218,40,76,196,20,40,152,Boldore.png
Boltund,Electric,Dog Pokémon,1.0 m (3′03″),34.0 kg (75.0 lbs),"1. Strong Jaw, Competitive (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",69,248,342,90,166,306,60,112,240,90,166,306,60,112,240,121,222,375,Boltund.png
Bombirdier,"Flying, Dark",Item Drop Pokémon,1.5 m (4′11″),42.9 kg (94.6 lbs),"1. Big Pecks, 2. Keen Eye, Rocky Payload (hidden ability)",2 Attack,"25 (3.3% with PokéBall, full HP)",50 (normal),243,Slow,Flying,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,103,189,335,85,157,295,60,112,240,85,157,295,82,152,289,Bombirdier.png
Bonsly,Rock,Bonsai Pokémon,0.5 m (1′08″),15.0 kg (33.1 lbs),"1. Sturdy, 2. Rock Head, Rattled (hidden ability)",1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,Undiscovered,"50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,80,148,284,95,175,317,10,22,130,45,85,207,10,22,130,Bonsly.png
Bouffalant,Normal,Bash Buffalo Pokémon,1.6 m (5′03″),94.6 kg (208.6 lbs),"1. Reckless, 2. Sap Sipper, Soundproof (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,110,202,350,95,175,317,40,76,196,95,175,317,55,103,229,Bouffalant.png
Bounsweet,Grass,Fruit Pokémon,0.3 m (1′00″),3.2 kg (7.1 lbs),"1. Leaf Guard, 2. Oblivious, Sweet Veil (hidden ability)",1 HP,"235 (30.7% with PokéBall, full HP)",50 (normal),42,Medium Slow,Grass,"0% male, 100% female","20 (4,884–5,140 steps)",42,194,288,30,58,174,38,72,192,30,58,174,38,72,192,32,62,179,Bounsweet.png
Braixen,Fire,Fox Pokémon,1.0 m (3′03″),14.5 kg (32.0 lbs),"1. Blaze, Magician (hidden ability)",2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),143,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",59,228,322,59,110,238,58,108,236,90,166,306,70,130,262,73,135,269,Braixen.png
Brambleghast,"Grass, Ghost",Tumbleweed Pokémon,1.2 m (3′11″),6.0 kg (13.2 lbs),"1. Wind Rider, Infiltrator (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),168,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,115,211,361,70,130,262,80,148,284,70,130,262,90,166,306,Brambleghast.png
Bramblin,"Grass, Ghost",Tumbleweed Pokémon,0.6 m (2′00″),0.6 kg (1.3 lbs),"1. Wind Rider, Infiltrator (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),55,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,65,121,251,30,58,174,45,85,207,35,67,185,60,112,240,Bramblin.png
Braviary,"Normal, Flying",Valiant Pokémon,1.5 m (4′11″),41.0 kg (90.4 lbs),"1. Keen Eye, 2. Sheer Force, Defiant (hidden ability)",2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),179,Slow,Flying,"100% male, 0% female","20 (4,884–5,140 steps)",100,310,404,123,225,379,75,139,273,57,107,234,75,139,273,80,148,284,Braviary.png
Hisuian Braviary,"Psychic, Flying",Battle Cry Pokémon,1.7 m (5′07″),43.4 kg (95.7 lbs),"1. Keen Eye, 2. Sheer Force, Tinted Lens (hidden ability)",2 Sp. Atk,"60 (7.8% with PokéBall, full HP)",50 (normal),179,Slow,Flying,"100% male, 0% female","20 (4,884–5,140 steps)",110,330,424,83,153,291,70,130,262,112,206,355,70,130,262,65,121,251,Hisuian Braviary.png
Breloom,"Grass, Fighting",Mushroom Pokémon,1.2 m (3′11″),39.2 kg (86.4 lbs),"1. Effect Spore, 2. Poison Heal, Technician (hidden ability)",2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),161,Fluctuating,"Fairy, Grass","50% male, 50% female","15 (3,599–3,855 steps)",60,230,324,130,238,394,80,148,284,60,112,240,60,112,240,70,130,262,Breloom.png
Brionne,Water,Pop Star Pokémon,0.6 m (2′00″),17.5 kg (38.6 lbs),"1. Torrent, Liquid Voice (hidden ability)",2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),147,Medium Slow,"Field, Water 1","87.5% male, 12.5% female","15 (3,599–3,855 steps)",60,230,324,69,128,260,69,128,260,91,168,309,81,150,287,50,94,218,Brionne.png
Bronzong,"Steel, Psychic",Bronze Bell Pokémon,1.3 m (4′03″),187.0 kg (412.3 lbs),"1. Levitate, 2. Heatproof, Heavy Metal (hidden ability)","1 Defense, 1 Sp. Def","90 (11.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)",67,244,338,89,164,304,116,213,364,79,146,282,116,213,364,33,63,181,Bronzong.png
Bronzor,"Steel, Psychic",Bronze Pokémon,0.5 m (1′08″),60.5 kg (133.4 lbs),"1. Levitate, 2. Heatproof, Heavy Metal (hidden ability)",1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)",57,224,318,24,47,161,86,159,298,24,47,161,86,159,298,23,45,159,Bronzor.png
Brute Bonnet,"Grass, Dark",Paradox Pokémon,1.2 m (3′11″),21.0 kg (46.3 lbs),1. Protosynthesis,3 Attack,"50 (6.5% with PokéBall, full HP)",0 (lower than normal),285,Slow,Undiscovered,Genderless,"50 (12,594–12,850 steps)",111,332,426,127,233,388,99,182,326,79,146,282,99,182,326,55,103,229,Brute Bonnet.png
Bruxish,"Water, Psychic",Gnash Teeth Pokémon,0.9 m (2′11″),19.0 kg (41.9 lbs),"1. Dazzling, 2. Strong Jaw, Wonder Skin (hidden ability)",2 Attack,"80 (10.5% with PokéBall, full HP)",50 (normal),166,Medium Fast,Water 2,"50% male, 50% female","15 (3,599–3,855 steps)",68,246,340,105,193,339,70,130,262,70,130,262,70,130,262,92,170,311,Bruxish.png
Budew,"Grass, Poison",Bud Pokémon,0.2 m (0′08″),1.2 kg (2.6 lbs),"1. Natural Cure, 2. Poison Point, Leaf Guard (hidden ability)",1 Sp. Atk,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Slow,Undiscovered,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,30,58,174,35,67,185,50,94,218,70,130,262,55,103,229,Budew.png
Buizel,Water,Sea Weasel Pokémon,0.7 m (2′04″),29.5 kg (65.0 lbs),"1. Swift Swim, Water Veil (hidden ability)",1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),66,Medium Fast,"Field, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,65,121,251,35,67,185,60,112,240,30,58,174,85,157,295,Buizel.png
Bulbasaur,"Grass, Poison",Seed Pokémon,0.7 m (2′04″),6.9 kg (15.2 lbs),"1. Overgrow, Chlorophyll (hidden ability)",1 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),64,Medium Slow,"Grass, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",45,200,294,49,92,216,49,92,216,65,121,251,65,121,251,45,85,207,Bulbasaur.png
Buneary,Normal,Rabbit Pokémon,0.4 m (1′04″),5.5 kg (12.1 lbs),"1. Run Away, 2. Klutz, Limber (hidden ability)",1 Speed,"190 (24.8% with PokéBall, full HP)",0 (lower than normal),70,Medium Fast,"Field, Human-Like","50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,66,123,254,44,83,205,44,83,205,56,105,232,85,157,295,Buneary.png
Bunnelby,Normal,Digging Pokémon,0.4 m (1′04″),5.0 kg (11.0 lbs),"1. Pickup, 2. Cheek Pouch, Huge Power (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),47,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",38,186,280,36,69,188,38,72,192,32,62,179,36,69,188,57,107,234,Bunnelby.png
Burmy Plant Cloak,Bug,Bagworm Pokémon,0.2 m (0′08″),3.4 kg (7.5 lbs),"1. Shed Skin, Overcoat (hidden ability)",1 Sp. Def,"120 (15.7% with PokéBall, full HP)",50 (normal),45,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,29,56,172,45,85,207,29,56,172,45,85,207,36,69,188,Burmy (Plant Cloak).png
Burmy Sandy Cloak,Bug,Bagworm Pokémon,0.2 m (0′08″),3.4 kg (7.5 lbs),"1. Shed Skin, Overcoat (hidden ability)",1 Sp. Def,"120 (15.7% with PokéBall, full HP)",50 (normal),45,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,29,56,172,45,85,207,29,56,172,45,85,207,36,69,188,Burmy (Sandy Cloak).png
Burmy Trash Cloak,Bug,Bagworm Pokémon,0.2 m (0′08″),3.4 kg (7.5 lbs),"1. Shed Skin, Overcoat (hidden ability)",1 Sp. Def,"120 (15.7% with PokéBall, full HP)",50 (normal),45,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,29,56,172,45,85,207,29,56,172,45,85,207,36,69,188,Burmy (Trash Cloak).png
Butterfree,"Bug, Flying",Butterfly Pokémon,1.1 m (3′07″),32.0 kg (70.5 lbs),"1. Compound Eyes, Tinted Lens (hidden ability)","2 Sp. Atk, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),178,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",60,230,324,45,85,207,50,94,218,90,166,306,80,148,284,70,130,262,Butterfree.png
Buzzwole,"Bug, Fighting",Swollen Pokémon,2.4 m (7′10″),333.6 kg (735.5 lbs),1. Beast Boost,"1 Attack, 2 Defense","45 (5.9% with PokéBall, full HP)",0 (lower than normal),257,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",107,324,418,139,254,414,139,254,414,53,99,225,53,99,225,79,146,282,Buzzwole.png
Cacnea,Grass,Cactus Pokémon,0.4 m (1′04″),51.3 kg (113.1 lbs),"1. Sand Veil, Water Absorb (hidden ability)",1 Sp. Atk,"190 (24.8% with PokéBall, full HP)",35 (lower than normal),67,Medium Slow,"Grass, Human-Like","50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,85,157,295,40,76,196,85,157,295,40,76,196,35,67,185,Cacnea.png
Cacturne,"Grass, Dark",Scarecrow Pokémon,1.3 m (4′03″),77.4 kg (170.6 lbs),"1. Sand Veil, Water Absorb (hidden ability)","1 Attack, 1 Sp. Atk","60 (7.8% with PokéBall, full HP)",35 (lower than normal),166,Medium Slow,"Grass, Human-Like","50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,115,211,361,60,112,240,115,211,361,60,112,240,55,103,229,Cacturne.png
Calyrex,"Psychic, Grass",King Pokémon,1.1 m (3′07″),7.7 kg (17.0 lbs),1. Unnerve,3 HP,"3 (0.4% with PokéBall, full HP)",100 (higher than normal),250,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",100,310,404,80,148,284,80,148,284,80,148,284,80,148,284,80,148,284,Calyrex.png
Calyrex Ice Rider,"Psychic, Ice",High King Pokémon,2.4 m (7′10″),809.1 kg (1783.8 lbs),1. As One,3 Attack,"3 (0.4% with PokéBall, full HP)",100 (higher than normal),340,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",100,310,404,165,301,471,150,274,438,85,157,295,130,238,394,50,94,218,Calyrex (Ice Rider).png
Calyrex Shadow Rider,"Psychic, Ghost",High King Pokémon,2.4 m (7′10″),53.6 kg (118.2 lbs),1. As One,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",100 (higher than normal),340,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",100,310,404,85,157,295,80,148,284,165,301,471,100,184,328,150,274,438,Calyrex (Shadow Rider).png
Camerupt,"Fire, Ground",Eruption Pokémon,1.9 m (6′03″),220.0 kg (485.0 lbs),"1. Magma Armor, 2. Solid Rock, Anger Point (hidden ability)","1 Attack, 1 Sp. Atk","150 (19.6% with PokéBall, full HP)",50 (normal),161,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,100,184,328,70,130,262,105,193,339,75,139,273,40,76,196,Camerupt.png
Mega Camerupt,"Fire, Ground",Eruption Pokémon,2.5 m (8′02″),320.5 kg (706.6 lbs),1. Sheer Force,"1 Attack, 1 Sp. Atk","150 (19.6% with PokéBall, full HP)",50 (normal),196,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,120,220,372,100,184,328,145,265,427,105,193,339,20,40,152,Mega Camerupt.png
Capsakid,Grass,Spicy Pepper Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs),"1. Chlorophyll, 2. Insomnia, Klutz (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,62,116,245,40,76,196,62,116,245,40,76,196,50,94,218,Capsakid.png
Carbink,"Rock, Fairy",Jewel Pokémon,0.3 m (1′00″),5.7 kg (12.6 lbs),"1. Clear Body, Sturdy (hidden ability)","1 Defense, 1 Sp. Def","60 (7.8% with PokéBall, full HP)",50 (normal),100,Slow,"Fairy, Mineral",Genderless,"25 (6,169–6,425 steps)",50,210,304,50,94,218,150,274,438,50,94,218,150,274,438,50,94,218,Carbink.png
Carkol,"Rock, Fire",Coal Pokémon,1.1 m (3′07″),78.0 kg (172.0 lbs),"1. Steam Engine, 2. Flame Body, Flash Fire (hidden ability)",2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),144,Medium Slow,Mineral,"50% male, 50% female","15 (3,599–3,855 steps)",80,270,364,60,112,240,90,166,306,60,112,240,70,130,262,50,94,218,Carkol.png
Carnivine,Grass,Bug Catcher Pokémon,1.4 m (4′07″),27.0 kg (59.5 lbs),1. Levitate,2 Attack,"200 (26.1% with PokéBall, full HP)",50 (normal),159,Slow,Grass,"50% male, 50% female","25 (6,169–6,425 steps)",74,258,352,100,184,328,72,134,267,90,166,306,72,134,267,46,87,210,Carnivine.png
Carracosta,"Water, Rock",Prototurtle Pokémon,1.2 m (3′11″),81.0 kg (178.6 lbs),"1. Solid Rock, 2. Sturdy, Swift Swim (hidden ability)",2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),173,Medium Fast,"Water 1, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",74,258,352,108,198,346,133,243,401,83,153,291,65,121,251,32,62,179,Carracosta.png
